"","Scientific_Name","Duration","Active_Growth_Period","Foliage_Color","pH_Min","pH_Max","Precip_Min","Precip_Max","Shade_Tolerance","Temp_Min_F"
"1276","Corydalis sempervirens","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1277","Corylus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1278","Corylus americana","Perennial","Spring and Summer","Green",5,7,32,60,"Intermediate",-33
"1279","Corylus cornuta","Perennial","Spring and Summer","Green",4.8,7.5,20,80,"Tolerant",-47
"1280","Corylus cornuta var. cornuta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1281","Cosmos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282","Cosmos parviflorus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1283","Cosmos sulphureus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1284","Cotinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1285","Cotinus coggygria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1286","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1287","Crassula aquatica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1288","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289","Crataegus calpodendron","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1290","Crataegus chrysocarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1291","Crataegus chrysocarpa var. chrysocarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1292","Crataegus crus-galli","Perennial","Spring and Summer","Green",4.5,7.2,24,60,"Intolerant",-33
"1293","Crataegus dissona","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1294","Crataegus dodgei","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1295","Crataegus flabellata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1296","Crataegus flava","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1297","Crataegus intricata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1298","Crataegus iracunda","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1299","Crataegus macrosperma","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1300","Crataegus margarettiae","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1301","Crataegus mollis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1302","Crataegus pedicellata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1303","Crataegus pennsylvanica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1304","Crataegus phaenopyrum","Perennial","Spring and Summer","Green",4.3,7,32,60,"Intolerant",-33
"1305","Crataegus pruinosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1306","Crataegus punctata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1307","Crataegus schuettei","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1308","Crataegus uniflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1309","Crataegus viridis","Perennial","Spring and Summer","Yellow-Green",4.3,7.3,36,60,"Intolerant",-24
"1310","Crataegus viridis var. viridis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1311","Crepis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1312","Crepis capillaris","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1313","Crepis nicaeensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1314","Crepis pulchra","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1315","Crepis tectorum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1316","Crotalaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1317","Crotalaria pumila","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1318","Crotalaria rotundifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1319","Crotalaria sagittalis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1320","Croton",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1321","Croton bonplandianus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1322","Croton capitatus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1323","Croton capitatus var. capitatus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1324","Croton glandulosus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1325","Croton glandulosus var. septentrionalis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1326","Croton michauxii","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1327","Croton michauxii var. ellipticus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1328","Croton michauxii var. michauxii","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1329","Croton monanthogynus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1330","Cruciata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1331","Cruciata pedemontana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1332","Cryptotaenia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1333","Cryptotaenia canadensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1334","Ctenolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1335","Ctenolepis cerasiformis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1336","Cunila",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1337","Cunila origanoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1338","Cuphea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1339","Cuphea viscosissima","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1340","Cuscuta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1341","Cuscuta compacta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1342","Cuscuta compacta var. compacta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1343","Cuscuta coryli","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1344","Cuscuta epilinum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1345","Cuscuta epithymum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1346","Cuscuta gronovii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1347","Cuscuta gronovii var. gronovii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1348","Cuscuta indecora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1349","Cuscuta indecora var. neuropetala","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1350","Cuscuta pentagona","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1351","Cuscuta pentagona var. pentagona","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1352","Cuscuta polygonorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1353","Cuscuta rostrata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1354","Cuscuta suaveolens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1355","Cycloloma",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356","Cycloloma atriplicifolium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1357","Cyclospermum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358","Cyclospermum leptophyllum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1359","Cydonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360","Cydonia oblonga","Perennial","Summer","Green",5,6.5,24,60,"Intolerant",-23
"1361","Cymbalaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362","Cymbalaria muralis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1363","Cymophora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1364","Cymophora accedens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1365","Cymophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1366","Cymophyllus fraserianus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1367","Cynanchum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368","Cynanchum laeve","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1369","Cynanchum louiseae","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1370","Cynodon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371","Cynodon dactylon","Perennial","Spring, Summer, Fall","Green",5,8,32,100,"Intolerant",-8
"1372","Cynoglossum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373","Cynoglossum officinale","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1374","Cynoglossum virginianum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1375","Cynoglossum virginianum var. virginianum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1376","Cynosurus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377","Cynosurus cristatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1378","Cynosurus echinatus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1379","Cyperus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1380","Cyperus acuminatus","Annual, Perennial","Spring and Summer","Green",4.9,6.8,24,55,"Intermediate",-38
"1381","Cyperus bipartitus","Annual","Spring, Summer, Fall","Green",4.5,6.5,30,50,"Intolerant",32
"1382","Cyperus compressus","Annual, Perennial","Summer and Fall","Green",5,6.5,30,50,"Intolerant",37
"1383","Cyperus croceus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1384","Cyperus dentatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1385","Cyperus diandrus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1386","Cyperus difformis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1387","Cyperus echinatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1388","Cyperus erythrorhizos","Annual, Perennial","Summer and Fall","Dark Green",5,6.5,14,50,"Intolerant",37
"1389","Cyperus esculentus","Perennial","Summer and Fall","Green",5,7,14,55,"Intolerant",42
"1390","Cyperus esculentus var. leptostachyus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1391","Cyperus esculentus var. sativus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1392","Cyperus filicinus","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1393","Cyperus flavescens","Annual","Summer and Fall","Green",5,7,24,55,"Intolerant",42
"1394","Cyperus flavicomus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1395","Cyperus fuscus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1396","Cyperus grayi","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1397","Cyperus houghtonii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1398","Cyperus hystricinus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1399","Cyperus iria","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1400","Cyperus lancastriensis","Perennial","Summer and Fall","Green",5,7,32,55,"Intolerant",7
"1401","Cyperus lupulinus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1402","Cyperus lupulinus ssp. lupulinus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1403","Cyperus lupulinus ssp. macilentus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1404","Cyperus odoratus","Annual, Perennial","Summer and Fall","Green",5,8.3,18,55,"Intolerant",42
"1405","Cyperus plukenetii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1406","Cyperus polystachyos","Annual, Perennial","Spring and Fall","Green",4.5,6.5,32,55,"Intolerant",47
"1407","Cyperus polystachyos var. texensis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1408","Cyperus pseudovegetus","Perennial","Spring, Summer, Fall","Green",4.6,6.8,30,55,"Intolerant",7
"1409","Cyperus refractus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1410","Cyperus retrofractus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1411","Cyperus retrorsus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1412","Cyperus retrorsus var. retrorsus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1413","Cyperus rotundus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1414","Cyperus squarrosus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1415","Cyperus strigosus","Perennial","Spring","Green",6.4,7,16,60,"Intolerant",-33
"1416","Cypripedium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1417","Cypripedium acaule","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1418","Cypripedium candidum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1419","Cypripedium parviflorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1420","Cypripedium parviflorum var. parviflorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1421","Cypripedium parviflorum var. pubescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1422","Cypripedium reginae","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1423","Cystopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1424","Cystopteris bulbifera","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1425","Cystopteris protrusa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1426","Cystopteris tennesseensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1427","Cystopteris tenuis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1428","Cytisus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429","Cytisus scoparius","Perennial","Spring and Summer","Green",5.5,7,30,60,"Intolerant",-13
"1430","Cytisus scoparius var. scoparius","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1431","Dactylis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1432","Dactylis glomerata","Perennial","Spring and Fall","Green",5,7.5,32,65,"Tolerant",-33
"1433","Dactylis glomerata ssp. glomerata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1434","Dactyloctenium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1435","Dactyloctenium aegyptium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1436","Dactyloctenium germinatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1437","Dactylorhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1438","Dactylorhiza viridis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1439","Dalea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1440","Dalea brachystachya","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1441","Dalea carthagenensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1442","Dalea carthagenensis var. floridana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1443","Dalibarda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1444","Dalibarda repens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1445","Danthonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1446","Danthonia compressa","Perennial","Spring","Green",4.8,7,32,55,"Tolerant",-33
"1447","Danthonia sericea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1448","Danthonia spicata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1449","Dasyochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1450","Dasyochloa pulchella","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1451","Datura",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1452","Datura inoxia","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1453","Datura quercifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1454","Datura stramonium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1455","Datura wrightii","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1456","Daucus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457","Daucus carota","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1458","Decodon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1459","Decodon verticillatus","Perennial","Summer and Fall","Green",4.9,8.6,30,60,"Intermediate",-23
"1460","Delphinium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1461","Delphinium exaltatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1462","Delphinium tricorne","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1463","Dennstaedtia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1464","Dennstaedtia punctilobula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1465","Deparia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1466","Deparia acrostichoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1467","Deschampsia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468","Deschampsia cespitosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1469","Deschampsia flexuosa","Perennial","Spring and Summer","Green",4.8,6.8,32,55,"Tolerant",-38
"1470","Deschampsia flexuosa var. flexuosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1471","Descurainia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472","Descurainia pinnata","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1473","Descurainia pinnata ssp. brachycarpa","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1474","Descurainia sophia","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1475","Desmanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1476","Desmanthus illinoensis","Perennial","Spring and Summer","Green",5,8,16,24,"Intolerant",-18
"1477","Desmodium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1478","Desmodium canadense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1479","Desmodium canescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1480","Desmodium ciliare","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1481","Desmodium ciliare var. ciliare","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1482","Desmodium cuspidatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1483","Desmodium cuspidatum var. cuspidatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1484","Desmodium fernaldii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1485","Desmodium glabellum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1486","Desmodium glutinosum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1487","Desmodium humifusum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1488","Desmodium laevigatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1489","Desmodium lineatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1490","Desmodium marilandicum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1491","Desmodium nudiflorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1492","Desmodium nuttallii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1493","Desmodium obtusum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1494","Desmodium ochroleucum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1495","Desmodium paniculatum","Perennial","Spring and Summer","Green",6,7,45,90,"Intermediate",-13
"1496","Desmodium paniculatum var. paniculatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1497","Desmodium pauciflorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1498","Desmodium perplexum","Perennial","Summer","Green",5.6,7,20,60,"Intermediate",-33
"1499","Desmodium rotundifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1500","Desmodium sessilifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1501","Desmodium strictum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1502","Desmodium tenuifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1503","Desmodium viridiflorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1504","Deutzia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1505","Deutzia gracilis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1506","Deutzia scabra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1507","Dianthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1508","Dianthus armeria","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1509","Dianthus barbatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1510","Dianthus deltoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1511","Dianthus plumarius","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1512","Diarrhena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1513","Diarrhena americana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1514","Diarrhena obovata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1515","Dicentra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1516","Dicentra canadensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1517","Dicentra cucullaria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1518","Dicentra eximia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1519","Dichanthelium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1520","Dichanthelium aciculare","Perennial","Summer","Gray-Green",4,6.5,30,60,"Intermediate",2
"1521","Dichanthelium acuminatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1522","Dichanthelium acuminatum var. acuminatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1523","Dichanthelium acuminatum var. fasciculatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1524","Dichanthelium acuminatum var. lindheimeri","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1525","Dichanthelium boreale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1526","Dichanthelium boscii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1527","Dichanthelium clandestinum","Perennial","Spring and Summer","Green",4,7.5,32,65,"Intolerant",-33
"1528","Dichanthelium commutatum","Perennial","Summer","Green",4,6.5,30,60,"Intermediate",-28
"1529","Dichanthelium depauperatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1530","Dichanthelium dichotomum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1531","Dichanthelium dichotomum var. dichotomum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1532","Dichanthelium dichotomum var. ensifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1533","Dichanthelium dichotomum var. tenue","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1534","Dichanthelium latifolium","Perennial","Summer","Green",4,6.5,20,60,"Intermediate",-43
"1535","Dichanthelium laxiflorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1536","Dichanthelium leucothrix","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1537","Dichanthelium linearifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1538","Dichanthelium longiligulatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1539","Dichanthelium meridionale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1540","Dichanthelium oligosanthes","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1541","Dichanthelium oligosanthes var. oligosanthes","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1542","Dichanthelium oligosanthes var. scribnerianum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1543","Dichanthelium ovale","Perennial","Spring","Green",4,6.5,35,50,"Tolerant",-13
"1544","Dichanthelium ovale var. addisonii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1545","Dichanthelium ovale var. ovale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1546","Dichanthelium ravenelii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1547","Dichanthelium sabulorum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1548","Dichanthelium sabulorum var. patulum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1549","Dichanthelium sabulorum var. thinium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1550","Dichanthelium scabriusculum","Perennial","Summer","Green",4,7,40,65,"Intermediate",-3
"1551","Dichanthelium scoparium","Perennial","Summer","Gray-Green",4.5,7.5,30,55,"Tolerant",-38
"1552","Dichanthelium sphaerocarpon","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1553","Dichanthelium sphaerocarpon var. isophyllum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1554","Dichanthelium sphaerocarpon var. sphaerocarpon","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1555","Dichanthelium spretum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1556","Dichanthelium villosissimum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1557","Dichanthelium villosissimum var. villosissimum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1558","Dichanthelium wrightianum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1559","Dichondra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1560","Dichondra carolinensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1561","Dichondra micrantha","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1562","Diervilla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1563","Diervilla lonicera","Perennial","Spring","Dark Green",4.8,7,32,50,"Intermediate",-23
"1564","Digitalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1565","Digitalis lanata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1566","Digitalis lutea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1567","Digitalis purpurea","Biennial","Spring and Summer","Dark Green",5.5,7,40,60,"Intolerant",-13
"1568","Digitalis purpurea ssp. purpurea","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"1569","Digitaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1570","Digitaria ciliaris","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1571","Digitaria cognata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1572","Digitaria filiformis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1573","Digitaria ischaemum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1574","Digitaria longiflora","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1575","Digitaria sanguinalis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1576","Digitaria villosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1577","Dinebra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578","Dinebra retroflexa","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"1579","Diodia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1580","Diodia teres","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1581","Diodia teres var. hystricina","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1582","Diodia teres var. teres","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1583","Diodia virginiana","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1584","Diodia virginiana var. virginiana","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1585","Dioscorea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1586","Dioscorea oppositifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"1587","Dioscorea quaternata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
